65B8F57C-D941-4847-B6C4-032B890CDD79 Puzzle                                                                                              Games in the Puzzle genre.
A5025447-2EE3-47F5-98B3-04790B1870F1 RPG                                                                                                 Games in the RPG genre.
C43AC811-8CF9-41BB-A676-1AD550D294A4 Indie                                                                                               Games in the Indie genre.
182173E8-C145-461B-9649-2ED3EF209C83 Action                                                                                              Games in the Action genre.
FD39CBA8-660A-4CF2-9777-3B806EE3D0D1 Adventure                                                                                           Games in the Adventure genre.
D2D8CB3C-5EBA-4244-9645-576F7646F777 Casual                                                                                              Games in the Casual genre.
60C0B142-0AED-4E5B-968F-977466265C61 Simulation                                                                                          Games in the Simulation genre.
70F6D159-0ED0-4661-AAEF-CF7E9AAAF2FF Racing                                                                                              Games in the Racing genre.
A6D3BC34-8734-41DA-BCC5-D291AD8F0D4E Sports                                                                                              Games in the Sports genre.
EBBE630E-F0DA-4894-B676-E889630334F9 Strategy                                                                                            Games in the Strategy genre.
